Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
19-0.txt,1,615,92.47,46.10,7.88,97.41,14.64,31.71,78.05,49.76,7.97,3.41,2.11,0.00,0.00,0.00,1.30,4.55,12.03,13.50,8.13,3.90,5.69,0.65,12.20,5.37,1.46,0.49,2.76,1.46,6.83,5.85,0.65,0.00,0.00,0.16,4.55,0.00,0.00,0.00,0.00,14.96,4.07,1.79,4.88,2.44,2.11,2.76,1.46,0.65,0.00,0.65,0.00,0.00,0.00,0.00,0.00,6.67,0.65,2.44,1.95,1.79,0.49,2.76,6.50,0.49,8.46,0.81,5.85,1.79,6.02,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.16,0.00,13.01,6.99,2.11,0.33,0.00,0.00,0.00,1.63,0.00,0.00,1.95,0.00
19-1.txt,1,592,94.56,38.04,13.41,80.79,23.68,23.99,72.47,46.96,6.93,2.20,1.18,0.00,0.00,0.00,1.01,4.73,9.63,15.37,7.26,1.86,6.08,1.35,9.46,5.57,2.03,0.51,6.76,1.18,4.05,3.55,0.51,0.00,0.00,0.17,3.04,0.00,0.00,0.00,0.00,12.50,3.21,3.04,1.18,1.18,1.01,3.55,2.36,2.03,0.00,0.34,0.17,0.17,0.00,0.00,0.00,3.72,0.34,1.18,1.35,1.18,0.34,2.87,5.24,0.51,7.60,0.17,5.74,1.69,5.07,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.20,4.22,5.07,0.00,0.00,0.00,0.00,3.04,0.68,0.00,4.56,9.63
19-10.txt,1,96,98.96,66.17,1.00,99.00,13.71,28.12,83.33,47.92,8.33,5.21,2.08,0.00,1.04,0.00,2.08,3.12,19.79,10.42,7.29,1.04,2.08,0.00,11.46,9.38,4.17,1.04,1.04,3.12,7.29,7.29,0.00,0.00,0.00,0.00,5.21,0.00,0.00,0.00,0.00,7.29,2.08,3.12,0.00,3.12,0.00,0.00,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,1.04,1.04,1.04,1.04,2.08,9.38,0.00,2.08,0.00,1.04,1.04,11.46,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.42,5.21,3.12,0.00,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00
19-100.txt,1,428,90.52,61.05,11.47,73.73,23.78,29.67,75.70,44.63,8.18,3.50,0.70,0.00,0.93,0.00,1.87,4.67,8.41,13.79,7.24,3.04,5.37,0.93,13.08,5.61,2.10,0.70,0.47,2.34,4.44,3.27,0.70,0.00,0.00,0.00,6.31,0.00,0.00,0.00,0.00,14.72,3.50,3.97,3.50,2.34,0.93,2.80,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.01,0.00,3.04,2.10,1.17,0.93,3.74,8.64,0.00,10.28,2.80,5.37,2.10,4.67,0.00,0.23,0.00,0.00,0.00,0.70,0.00,0.70,0.70,0.00,0.00,26.64,3.97,3.74,0.23,0.00,0.23,0.00,3.74,0.00,0.93,1.40,12.38
19-101.txt,1,247,97.28,53.24,19.27,97.58,17.64,34.82,82.19,40.89,3.64,0.81,0.00,0.40,0.00,0.00,0.40,2.83,12.15,12.15,5.67,2.43,3.64,2.83,13.77,6.07,0.40,0.81,1.62,2.43,6.88,6.07,0.81,0.00,0.00,0.00,4.45,0.00,0.00,0.00,0.00,16.19,5.26,4.86,1.21,1.62,2.83,1.21,3.64,3.24,0.00,0.40,0.00,0.00,0.00,0.00,0.00,4.45,2.02,1.21,0.00,0.40,0.81,6.88,6.48,0.40,10.53,1.21,6.48,2.83,7.29,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,0.00,0.00,15.38,5.26,3.24,4.05,0.00,0.40,0.00,0.40,0.81,0.81,0.00,0.40
19-102.txt,1,232,94.72,38.13,6.84,58.39,21.09,28.45,74.57,45.26,7.33,1.29,0.86,0.00,0.43,0.00,0.00,6.03,12.07,12.50,6.47,2.16,5.60,1.29,10.34,6.03,3.45,1.72,3.45,3.45,2.59,2.16,0.43,0.00,0.00,0.43,0.86,0.00,0.00,0.00,0.00,13.36,3.02,2.16,2.16,3.45,0.86,2.16,0.86,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.43,1.72,0.43,0.00,1.29,0.43,9.05,0.43,8.19,0.00,6.47,1.72,8.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.38,5.60,5.60,0.86,0.00,0.00,0.00,0.00,1.72,0.00,2.59,0.00
19-103.txt,1,403,96.77,46.03,14.46,97.43,16.12,27.79,72.95,44.91,7.20,2.48,0.99,0.00,0.00,0.00,1.49,4.71,10.92,14.64,5.96,3.23,3.72,0.50,7.69,7.44,2.73,0.74,1.24,0.74,6.20,5.71,0.50,0.00,0.00,0.25,2.23,0.00,0.00,0.00,0.00,10.92,4.47,2.23,0.74,1.24,0.99,1.74,0.99,0.74,0.00,0.00,0.50,0.25,0.00,0.00,0.25,2.98,0.00,1.74,0.74,0.99,0.00,2.23,4.22,0.74,8.19,0.99,5.46,1.49,8.19,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.25,0.00,0.50,0.00,16.13,6.70,3.47,0.00,0.00,0.00,0.00,2.23,2.48,0.00,0.99,0.25
19-104.txt,1,787,93.14,35.61,24.04,64.32,16.06,22.24,73.82,48.28,6.23,1.91,0.51,1.02,0.00,0.00,0.38,4.32,11.82,12.96,8.01,3.68,4.83,2.16,10.55,5.72,2.92,1.02,5.46,2.54,3.56,2.80,0.76,0.13,0.00,0.25,3.30,0.00,0.00,0.00,0.00,16.14,4.57,3.05,1.91,1.91,1.02,5.34,1.27,1.14,0.00,0.13,0.64,0.51,0.13,0.00,0.00,3.30,1.02,0.89,0.89,0.51,0.25,1.40,7.75,0.76,8.26,0.51,5.34,2.67,3.81,0.00,0.00,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.13,0.00,19.44,6.23,2.16,0.89,0.00,0.38,0.13,1.14,5.34,0.00,1.52,1.65
19-105.txt,1,189,97.84,50.00,5.94,82.57,14.54,22.22,68.78,40.74,4.76,2.65,1.59,0.00,1.06,0.00,0.00,2.12,10.58,14.29,6.35,1.59,4.76,0.00,8.47,5.82,3.17,0.00,3.17,1.59,3.17,3.17,0.00,0.00,0.00,0.00,2.12,0.00,0.00,0.00,0.00,12.17,3.70,2.65,1.59,2.12,1.06,1.59,2.65,1.59,0.00,1.06,1.59,1.06,0.00,0.00,0.53,2.65,0.00,1.06,1.06,0.53,0.00,0.53,6.88,0.00,6.35,0.00,4.76,2.12,3.70,1.06,0.00,0.00,0.00,0.00,1.59,0.00,1.06,0.00,1.06,0.00,30.16,6.88,1.59,2.12,0.00,1.06,0.00,8.99,2.12,0.53,5.29,1.59
19-106.txt,1,141,99.00,52.84,6.82,77.89,14.10,36.88,68.09,34.75,2.84,0.71,0.00,0.71,0.00,0.00,0.00,2.13,12.77,12.77,2.84,0.71,3.55,0.00,7.09,2.84,1.42,0.00,0.71,1.42,4.26,3.55,0.71,0.00,0.00,0.00,1.42,0.00,0.00,0.00,0.00,9.22,2.13,2.13,0.71,2.13,0.71,1.42,1.42,0.71,0.00,0.71,2.13,2.13,0.00,0.00,0.00,5.67,1.42,2.13,0.71,0.71,0.71,3.55,4.26,0.71,9.22,0.71,5.67,2.13,5.67,1.42,0.71,0.00,0.00,0.00,0.71,0.00,0.71,0.00,0.00,0.00,20.57,7.09,2.13,0.00,0.00,0.00,0.00,2.84,2.84,0.00,5.67,0.00
